#Organism/Name	taxid	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Aspergillus fumigatus	746128	PRJNA595552	595552	Fungi	Ascomycetes	27.6222	49.9	GCA_020499045.1	-	JAIBQE01	1200	9453	9276	2021/10/14	2021/10/14	Contig	Leibniz-HKI	SAMN13559192
Geum urbanum	57919	PRJEB55663	875861	Plants	Land Plants	1304.87	39.9756	GCA_946800695.1	chromosome 1:OX326997.1; chromosome 2:OX326998.1; chromosome 3:OX326999.1; chromosome 4:OX327000.1; chromosome 5:OX327001.1; chromosome 6:OX327002.1; chromosome 7:OX327003.1; chromosome 8:OX327004.1; chromosome 9:OX327005.1; chromosome 10:OX327006.1; chromosome 11:OX327007.1; chromosome 12:OX327008.1; chromosome 13:OX327009.1; chromosome 14:OX327010.1; chromosome 15:OX327011.1; chromosome 16:OX327012.1; chromosome 17:OX327013.1; chromosome 18:OX327014.1; chromosome 19:OX327015.1; chromosome 20:OX327016.1; chromosome 21:OX327017.1; mitochondrion MT:OX327018.1; chloroplast Pltd:OX327019.1	CAMPEP01	26	-	-	2022/09/10	2022/09/14	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7522180
Pyrenophora tritici-repentis	45151	PRJNA803191	803191	Fungi	Ascomycetes	34.753	50.8	GCA_025544595.1	-	JAMBYX01	4652	-	-	2022/10/03	2022/10/03	Contig	Agriculture and Agri-food Canada	SAMN26027249
Thunnus thynnus	8237	PRJNA432036	432036	Animals	Fishes	648.209	39.3	GCA_003231725.1	-	QFYH01	354425	-	-	2018/06/15	2018/06/15	Scaffold	University of Bologna	SAMN08408184
Ganaspis brasiliensis	1922239	PRJNA503097	503097	Animals	Insects	821.363	27.8	GCA_009823575.1	-	RJVV01	706984	-	-	2019/12/31	2019/12/31	Scaffold	Universite Lyon 1	SAMN10352357
Psittacus erithacus	57247	PRJNA551771	551771	Animals	Birds	1126.53	41.4	GCA_009867235.2	-	WYDI02	186631	-	-	2020/01/14	2022/11/27	Scaffold	IRIDIAN GENOMES	SAMN12165726
Alectoria sarmentosa	111643	PRJNA588068	588068	Fungi	Ascomycetes	39.9583	40.2	GCA_009733775.1	-	WOGZ01	915	-	-	2019/12/06	2019/12/06	Scaffold	Universidad Complutense de Madrid	SAMN13222678
Poicephalus cryptoxanthus	234075	PRJNA703655	703655	Animals	Birds	1235.69	32.1	GCA_026413525.1	-	JANHOB01	481132	-	-	2022/11/27	2022/11/27	Scaffold	Iridian Genomes	SAMN19459811
Saccharomyces cerevisiae	4932	PRJEB57445	901847	Fungi	Ascomycetes	11.9108	36.9	GCA_947343765.1	-	CAMZRI01	17	-	-	2022/11/15	2022/11/16	Scaffold	Quadram Institute Bioscience	SAMEA112128690
Homo sapiens	9606	PRJNA339314	339314	Animals	Mammals	5712.52	40	GCA_002022525.1	-	MSBJ01	44810	-	-	2017/03/07	2017/03/07	Scaffold	10x Genomics	SAMN05589122
Phytophthora ramorum	164328	PRJNA738483	738483	Protists	Other Protists	57.4514	54.2	GCA_020800215.1	-	JAICDV01	28	15268	15506	2021/11/08	2021/11/08	Scaffold	USDA ARS	SAMN19730089
Candida albicans	5476	PRJNA879282	879282	Fungi	Ascomycetes	14.9783	33.6	GCA_028532825.1	-	JAODHB01	14	-	-	2023/02/07	2023/02/07	Contig	NIAB	SAMN30802632
Phytophthora ramorum	164328	PRJNA177509	177509	Protists	Other Protists	39.1843	54	GCA_001933405.1	-	MLJC01	4562	-	-	2017/01/04	2017/01/04	Scaffold	University of Exeter	SAMN01797771
Pyricularia oryzae	318829	PRJNA354675	354675	Fungi	Ascomycetes	37.8234	51.9	GCA_003016625.1	-	MQRD01	1871	-	-	2018/03/26	2018/03/26	Scaffold	Fujian Agriculture and Forestry University	SAMN06050146
Fistulina hepatica ATCC 64428	1128425	PRJNA196028	196028	Fungi	Basidiomycetes	33.8478	50.2	GCA_000934395.1	-	JYFI01	588	11391	11244	2015/02/25	2015/02/26	Scaffold	DOE Joint Genome Institute	SAMN02746049
Amylostereum chailletii	55340	PRJNA265560	265560	Fungi	Basidiomycetes	38.2047	54.5	GCA_022385825.1	-	WTXM01	2032	14844	14730	2022/02/17	2022/03/09	Scaffold	DOE Joint Genome Institute	SAMN03159466
Lepidurus arcticus	77708	PRJNA417576	417576	Animals	Other Animals	73.1059	41.6	GCA_003724045.1	-	RJJA01	3152	-	-	2018/11/13	2018/11/13	Scaffold	University of Bologna	SAMN07999711
Phenoliferia glacialis	418497	PRJNA674641	674641	Fungi	Basidiomycetes	15.8906	50.6	GCA_017654785.1	-	JADPYE01	253	-	-	2021/03/31	2021/03/31	Contig	Universidad de Chile	SAMN16666567
Darevskia valentini	122353	PRJNA327916	327916	Animals	Reptiles	1455.7	42.3	GCA_024498535.1	-	JAIXNF01	31777	-	-	2022/07/29	2022/07/29	Scaffold	Saint-Petersburg State University	SAMN21480096
Plasmodiophora brassicae	37360	PRJEB24736	503156	Protists	Other Protists	25.2468	59.3	GCA_900303365.2	mitochondrion:OVEO00000000.1	OVEO01	20	18460	18460	2018/11/09	2018/11/09	Contig	Swedish University of Agricultural Sciences	SAMEA104666271
Glycine max	3847	PRJNA561626	561626	Plants	Land Plants	987.26	34.8934	GCA_014282065.1	chromosome 1:CM024813.1; chromosome 2:CM024814.1; chromosome 3:CM024815.1; chromosome 4:CM024816.1; chromosome 5:CM024817.1; chromosome 6:CM024818.1; chromosome 7:CM024819.1; chromosome 8:CM024820.1; chromosome 9:CM024821.1; chromosome 10:CM024822.1; chromosome 11:CM024823.1; chromosome 12:CM024824.1; chromosome 13:CM024825.1; chromosome 14:CM024826.1; chromosome 15:CM024827.1; chromosome 16:CM024828.1; chromosome 17:CM024829.1; chromosome 18:CM024830.1; chromosome 19:CM024831.1; chromosome 20:CM024832.1	WIWX01	249	-	-	2020/08/24	2020/08/25	Chromosome	Frasergen Bioinformatics Inc	SAMN12622413
Saccharomyces cerevisiae	4932	PRJNA396809	396809	Fungi	Ascomycetes	11.4454	38.6196	GCA_003270145.1	chromosome I:CM010049.1; chromosome II:CM010050.1; chromosome III:CM010051.1; chromosome IV:CM010052.1; chromosome V:CM010053.1; chromosome VI:CM010054.1; chromosome VII:CM010055.1; chromosome VIII:CM010056.1; chromosome IX:CM010057.1; chromosome X:CM010058.1; chromosome XI:CM010059.1; chromosome XII:CM010060.1; chromosome XIII:CM010061.1; chromosome XIV:CM010062.1; chromosome XV:CM010063.1; chromosome XVI:CM010064.1	NPOZ01	64	-	-	2018/06/28	2019/04/15	Chromosome	Institute Of Microbiology Chinese Academy of Sciences	SAMN07437068
Aspergillus niger	5061	PRJNA662853	662853	Fungi	Ascomycetes	35.4363	49.4	GCA_026119665.1	-	JACXKN01	143	-	-	2022/11/10	2022/11/10	Scaffold	China Center of Industrial Culture Collection	SAMN16094702
Sus scrofa	9823	PRJNA309108	309108	Animals	Mammals	2453.7	41.5	GCA_001700295.1	-	LUXY01	115554	-	-	2016/08/05	2016/08/05	Scaffold	Novogene	SAMN04440480
Fusarium oxysporum	5507	PRJNA587975	587975	Fungi	Ascomycetes	49.2895	47.4	GCA_014324715.1	-	WXUS01	856	-	-	2020/08/28	2020/08/28	Scaffold	Boosting Plant-Endophyte Stability, Compatibility and Performance across scales (BestPass)	SAMN13221275
Albugo candida	65357	PRJNA291032	291032	Protists	Other Protists	32.2149	43.1	GCA_001306775.1	-	LGTN01	7259	-	-	2015/10/05	2015/10/05	Contig	The Sainsbury Laboratory	SAMN03938710
Kockovaella imperatae	4999	PRJNA396742	396742	Fungi	Basidiomycetes	17.4657	52.2	GCA_002102565.1	-	NBSH01	38	7428	7392	2017/04/20	2017/04/20	Contig	NCBI	SAMN05445367
Botryosphaeria dothidea	55169	PRJNA777748	777748	Fungi	Ascomycetes	46.1254	54.5	GCA_023089085.1	-	JAJNLM01	2680	-	-	2022/04/21	2022/04/21	Scaffold	Shandong Agricultural University	SAMN22899241
Zea mays	4577	PRJNA795201	795201	Plants	Land Plants	2345.81	46.9679	GCA_024505845.1	chromosome 1:CM044744.1; chromosome 2:CM044745.1; chromosome 3:CM044746.1; chromosome 4:CM044747.1; chromosome 5:CM044748.1; chromosome 6:CM044749.1; chromosome 7:CM044750.1; chromosome 8:CM044751.1; chromosome 9:CM044752.1; chromosome 10:CM044753.1	JAKJKK01	2223	-	-	2022/08/02	2022/08/02	Chromosome	Beijing Academy of Agricultural and Forest Sciences	SAMN24782630
Trisateles emortualis	753441	PRJEB56843	892431	Animals	Insects	565.515	36.4384	GCA_947095525.1	chromosome 1:OX352730.1; chromosome 2:OX352731.1; chromosome 3:OX352732.1; chromosome 4:OX352733.1; chromosome 5:OX352734.1; chromosome 6:OX352735.1; chromosome 7:OX352736.1; chromosome 8:OX352737.1; chromosome 9:OX352738.1; chromosome 10:OX352739.1; chromosome 11:OX352740.1; chromosome 12:OX352741.1; chromosome 13:OX352742.1; chromosome 14:OX352743.1; chromosome 15:OX352744.1; chromosome 16:OX352745.1; chromosome 17:OX352746.1; chromosome 18:OX352747.1; chromosome 19:OX352748.1; chromosome 20:OX352749.1; chromosome 21:OX352750.1; chromosome 22:OX352751.1; chromosome 23:OX352752.1; chromosome 24:OX352753.1; chromosome 25:OX352754.1; chromosome 26:OX352755.1; chromosome 27:OX352756.1; chromosome 28:OX352757.1; chromosome 29:OX352758.1; chromosome 30:OX352759.1; chromosome Z:OX352729.1; mitochondrion MT:OX352760.1	CAMUPS01	33	-	-	2022/10/20	2022/10/21	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA10979087
Fusarium torreyae	1237075	PRJNA855134	855134	Fungi	Ascomycetes	46.5183	47.9	GCA_027945595.1	-	JAOQAZ01	92	14845	14533	2023/01/24	2023/01/24	Scaffold	University of California, Riverside	SAMN30354184
Megathymus violae	2795567	PRJNA413820	413820	Animals	Insects	429.428	34.7	GCA_003671415.1	-	PDGT01	1515	-	-	2018/10/22	2018/10/22	Scaffold	UT Southwestern Medical Center	SAMN07767772
Heliosperma pusillum	39905	PRJNA739571	739571	Plants	Land Plants	1208.95	36.9	GCA_022085475.1	-	JAIUZE01	75439	6	6	2022/02/08	2022/02/08	Scaffold	Plant Ecological Genomics, University of Vienna	SAMN19795684
Sebastes rosaceus	72096	PRJEB42258	754564	Animals	Fishes	959.586	40.7	GCA_916701555.1	-	CAKANI01	881	-	-	2021/10/19	2021/10/19	Scaffold	UNIVERSITY OF CALIFORNIA AT BERKELEY	SAMEA7962392
Fusarium oxysporum f. sp. cucumerinum	5508	PRJNA306247	306247	Fungi	Ascomycetes	48.6596	47.6	GCA_001703455.1	-	MABT01	1133	-	-	2016/08/10	2016/08/10	Scaffold	University of Amsterdam	SAMN04348756
Bugulina stolonifera	192920	PRJEB51931	820268	Animals	Other Animals	234.983	36.9974	GCA_935421135.1	chromosome 1:OW285187.1; chromosome 2:OW285188.1; chromosome 3:OW285189.1; chromosome 4:OW285190.1; chromosome 5:OW285191.1; chromosome 6:OW285192.1; chromosome 7:OW285193.1; chromosome 8:OW285194.1; chromosome 9:OW285195.1; chromosome 10:OW285196.1; chromosome 11:OW285197.1; mitochondrion MT:OW285198.1	CAKXYU01	31	-	-	2022/03/27	2022/04/02	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7536683
Oryza sativa	4530	PRJEB29274	514645	Plants	Land Plants	0.414506	43.5	GCA_900609835.1	-	UXDX01	86	-	-	2019/01/10	2019/01/10	Contig	Huazhong Agricultural University	SAMEA2567497
Brassica nigra	3710	PRJNA320480	320480	Plants	Land Plants	458.668	37.2078	GCA_026691275.1	chromosome 1:CM048938.1; chromosome 2:CM048939.1; chromosome 3:CM048940.1; chromosome 4:CM048941.1; chromosome 5:CM048942.1; chromosome 6:CM048943.1; chromosome 7:CM048944.1; chromosome 8:CM048945.1	SMSH01	74819	-	-	2022/11/16	2022/11/16	Chromosome	Wuhan University	SAMN04940011
Bos mutus	72004	PRJNA720245	720245	Animals	Mammals	2630.43	41.8897	GCA_027580195.1	chromosome 1:CM050780.1; chromosome 2:CM050781.1; chromosome 3:CM050782.1; chromosome 4:CM050783.1; chromosome 5:CM050784.1; chromosome 6:CM050785.1; chromosome 7:CM050786.1; chromosome 8:CM050787.1; chromosome 9:CM050788.1; chromosome 10:CM050789.1; chromosome 11:CM050790.1; chromosome 12:CM050791.1; chromosome 13:CM050792.1; chromosome 14:CM050793.1; chromosome 15:CM050794.1; chromosome 16:CM050795.1; chromosome 17:CM050796.1; chromosome 18:CM050797.1; chromosome 19:CM050798.1; chromosome 20:CM050799.1; chromosome 21:CM050800.1; chromosome 22:CM050801.1; chromosome 23:CM050802.1; chromosome 24:CM050803.1; chromosome 25:CM050804.1; chromosome 26:CM050805.1; chromosome 27:CM050806.1; chromosome 28:CM050807.1; chromosome 29:CM050808.1; chromosome X:CM050809.1	JANCMR01	2070	-	-	2023/01/06	2023/01/06	Chromosome	Northwest Institute of Plateau Biology, Chinese Academy of Sciences	SAMN18643077
Exophiala spinifera	91928	PRJNA600036	600036	Fungi	Ascomycetes	32.4685	51.8	GCA_010883385.1	-	JAAAJG01	109	-	-	2020/02/20	2020/02/20	Scaffold	Research Center for Medical Mycology - Peking University First Hospital	SAMN13781149
Maconellicoccus hirsutus	177089	PRJEB12066	316505	Animals	Insects	163.045	35.3	GCA_900064465.1	-	FIZS01	12889	-	-	2016/03/26	2016/03/26	Scaffold	UNIVERSITY OF SOUTH BOHEMIA	SAMEA3699093
Thalassiosira oceanica	159749	PRJNA36595	36595	Other	Other	92.1856	53.2648	GCA_000296195.2	chloroplast Pltd:GU323224.1	AGNL01	50892	34684	34642	2012/07/25	2014/08/11	Contig	DFG Cluster of Excellence 'Future Ocean'	SAMN02981384
Umbilicaria spodochroa	87284	PRJNA820300	820300	Fungi	Ascomycetes	44.3154	51	GCA_023184705.1	-	JALILV01	130	-	-	2022/04/29	2022/04/29	Scaffold	Senckenberg Gesellschaft fuer Naturforschung	SAMN26992778
Teunomyces cretensis	268492	PRJNA429441	429441	Fungi	Ascomycetes	11.2277	46.1	GCA_003706575.1	-	PPLT01	120	-	-	2018/10/31	2018/12/31	Scaffold	UW-Madison	SAMN08343340
Trametes pubescens	154538	PRJNA348811	348811	Fungi	Basidiomycetes	39.7398	57.5	GCA_001895945.1	-	MNAD01	1731	14718	14438	2016/12/09	2016/12/09	Scaffold	CBS-KNAW Fungal Biodiversity Centre Institute of the Royal Netherlands Academy of Arts and Science	SAMN05915862
Biomphalaria glabrata	6526	PRJNA847915	847915	Animals	Other Animals	837.322	36.3	GCA_024586215.1	-	JANFOZ01	2515	-	-	2022/08/08	2022/08/08	Scaffold	Oregon State University	SAMN28962998
Harmonia axyridis	115357	PRJNA437351	437351	Animals	Insects	10.4406	32.4	GCA_009805905.1	-	QCWK01	95	-	-	2019/12/27	2019/12/27	Scaffold	State Key Laboratory of Genetic Engineering,Fudan University	SAMN08660877
Homo sapiens	9606	PRJNA727361	727361	Animals	Mammals	3028.99	40.8	GCA_018504375.1	-	JAHEOX01	345	-	-	2021/05/26	2022/06/26	Contig	UCSC Genomics Institute	SAMN13957917
Homo sapiens	9606	PRJNA611438	611438	Animals	Mammals	2846.33	40.3	GCA_015147845.1	-	JADDBE01	14294	-	-	2020/10/30	2020/10/30	Scaffold	University of California, San Francisco	SAMN14253739
Pelecanoides urinatrix	37079	PRJNA545868	545868	Animals	Birds	1205.48	41.7	GCA_013400755.1	-	VZTQ01	51720	16294	14766	2020/07/10	2020/07/10	Scaffold	B10K Consortium	SAMN12253911
Homo sapiens	9606	PRJNA626938	626938	Animals	Mammals	2847.41	40.4	GCA_015104095.1	-	JADECE01	15058	-	-	2020/10/29	2020/10/29	Scaffold	Academia Sinica	SAMN14178723
Pinus taeda	3352	PRJNA174450	174450	Plants	Land Plants	22103.6	34.8	GCA_000404065.3	-	APFE03	1760464	-	-	2015/08/06	2017/01/11	Scaffold	UC Davis	SAMN02981512
Homo sapiens	9606	PRJNA626961	626961	Animals	Mammals	2864.99	40.4	GCA_015095815.1	-	JADEBI01	15325	-	-	2020/10/29	2020/10/29	Scaffold	Academia Sinica	SAMN14178712
Fusarium oxysporum	5507	PRJNA412392	412392	Fungi	Ascomycetes	51.6154	47.2	GCA_011036545.1	-	WEYI01	1889	-	-	2020/02/27	2020/02/27	Scaffold	Cook Lab - University of California at Davis	SAMN07710940
Tympanoctomys barrerae	61882	PRJNA380259	380259	Animals	Mammals	2651.63	41.2	GCA_002564285.1	-	NDGN01	1558800	-	-	2017/10/17	2017/10/17	Scaffold	McMaster University	SAMN06642005
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	42.9883	50.1	GCA_002218475.1	-	MKZV01	1038	-	-	2017/07/14	2017/07/14	Scaffold	International Wheat Blast Consortium	SAMN05864041
Ancistrus triradiatus	2841045	PRJNA769304	769304	Animals	Fishes	994.063	40.7	GCA_025084515.1	-	JAJAGP01	9565	-	-	2022/09/08	2022/09/08	Scaffold	University of Geneva	SAMN22109509
Lepidopterella palustris CBS 459.81	1314670	PRJNA196014	196014	Fungi	Ascomycetes	45.6681	46.2	GCA_001692735.1	-	LKAR01	3371	13907	13861	2016/07/22	2016/07/26	Scaffold	DOE Joint Genome Institute	SAMN04110470
Calypte anna	9244	PRJNA489140	489140	Animals	Birds	952.083	41.3	GCA_003957575.1	-	RRCE01	3803	-	-	2018/12/20	2018/12/20	Scaffold	Vertebrate Genomes Project	SAMN02265252
Beauveria bassiana	176275	PRJNA658593	658593	Fungi	Ascomycetes	34.7369	50.6	GCA_022684715.1	-	JACVMZ01	878	-	-	2022/03/23	2022/06/07	Scaffold	Universidad Nacional	SAMN15878524
Saccharomyces cerevisiae	4932	PRJEB57445	901847	Fungi	Ascomycetes	11.8756	37	GCA_947344175.1	-	CAMZTF01	17	-	-	2022/11/15	2022/11/16	Scaffold	Quadram Institute Bioscience	SAMEA112128604
Symmachia rubina	717384	PRJNA606954	606954	Animals	Insects	587.429	37.4	GCA_018237705.1	-	DVZP01	1064418	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN12776968
Oryzias latipes	8090	PRJNA16702	16702	Animals	Fishes	869.818	42.2741	GCA_000313675.1	-	BAAF04	7307	-	-	2006/04/11	2008/01/10	Chromosome	Medaka genome sequencing project	SAMD00036523
Pyricularia oryzae	318829	PRJNA354675	354675	Fungi	Ascomycetes	37.9365	51.4	GCA_003016175.1	-	MQPE01	1653	-	-	2018/03/26	2018/03/26	Scaffold	Fujian Agriculture and Forestry University	SAMN06050095
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	61.3974	59.8	GCA_902500935.1	-	CABVSK01	765	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056381
Sonneratia alba	122812	PRJEB8424	614450	Plants	Land Plants	207.168	41.9	GCA_900174645.1	-	FWPY01	108	-	-	2020/02/14	2020/02/14	Scaffold	Zhang Zhang	SAMEA103941921
Sebastes ensifer	72072	PRJEB42258	754564	Animals	Fishes	791.388	40.8	GCA_916700965.1	-	CAKALQ01	52002	-	-	2021/10/19	2021/10/19	Scaffold	UNIVERSITY OF CALIFORNIA AT BERKELEY	SAMEA7962338
Fusarium oxysporum f. sp. basilici	121232	PRJNA846078	846078	Fungi	Ascomycetes	48.9721	47.7	GCA_025203115.1	-	JAMSFS01	1157	-	-	2022/09/14	2022/09/14	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN28868105
Botryosphaeria kuwatsukai	2021124	PRJNA394804	394804	Fungi	Ascomycetes	47.8713	53.1	GCA_004016305.1	-	NOWS01	756	-	-	2019/01/14	2019/01/14	Scaffold	Northwest A&F University	SAMN07360886
Isotricha intestinalis	47897	PRJNA777442	777442	Protists	Other Protists	88.2006	18.2	GCA_023807065.1	-	JAJJLU01	16831	-	-	2022/06/19	2022/06/19	Contig	Northwest Agriculture and Forestry University	SAMN22862955
Monoraphidium minutum	39955	PRJNA712877	712877	Plants	Green Algae	68.1706	72.1	GCA_025201885.1	-	JALPTG01	511	15464	15335	2022/09/09	2022/09/09	Scaffold	DOE Joint Genome Institute	SAMN26681012
Amitus sp. ZL-2020	2729014	PRJNA550131	550131	Animals	Other Animals	160.413	35.5	GCA_022817785.1	-	JABFOS01	137227	-	-	2022/04/05	2022/04/05	Scaffold	The Ohio State University	SAMN14615493
Aspergillus niger	5061	PRJEB21769	429167	Fungi	Ascomycetes	35.5702	49.6	GCA_900248155.1	-	OGUI01	19	11187	11236	2018/01/26	2018/01/26	Scaffold	WAGENINGEN UNIVERSITY	SAMEA104402528
Rotaria magnacalcarata	392030	PRJEB43239	705346	Animals	Other Animals	174.022	31.9	GCA_905321285.1	-	CAJNRF01	18391	37247	38246	2021/03/05	2021/03/05	Scaffold	IMPERIAL COLLEGE LONDON	SAMEA8117368
Gigaspora margarita	4874	PRJEB45340	768188	Fungi	Other Fungi	574.57	27.4	GCA_910592245.1	-	CAJVQB01	173647	-	-	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911294
Homo sapiens	9606	PRJNA627002	627002	Animals	Mammals	2870.45	40.2	GCA_015075925.1	-	JADDZT01	15528	-	-	2020/10/29	2020/10/29	Scaffold	Academia Sinica	SAMN14178692
Pyricularia oryzae	318829	PRJEB22035	414061	Fungi	Ascomycetes	43.3943	49.8	GCA_905109485.1	-	CAJHKL01	1156	-	-	2020/11/18	2020/11/18	Scaffold	UNIVERSITY OF EXETER	SAMEA104190820
Fusarium hostae	152502	PRJNA389502	389502	Fungi	Ascomycetes	54.582	45.7	GCA_002234235.1	-	NJCR01	3686	-	-	2017/07/27	2017/07/27	Scaffold	University of Amsterdam	SAMN07201038
Hortaea werneckii	91943	PRJNA428320	428320	Fungi	Ascomycetes	56.6068	53.3	GCA_024761845.1	-	JAHCCP01	9588	22989	22989	2022/08/29	2022/08/29	Contig	Biotechnical Faculty, University of Ljubljana	SAMN18753913
Heliconius numata	33419	PRJNA676017	676017	Animals	Insects	350.383	31.8	GCA_016802465.1	-	JAEBDN01	15949	-	-	2021/02/02	2021/02/02	Scaffold	CEFE, CNRS, UMR5175	SAMN16746781
Verticillium dahliae	27337	PRJNA576642	576642	Fungi	Ascomycetes	34.0029	53.3	GCA_011032985.1	-	WNXJ01	4182	-	-	2020/02/27	2020/02/27	Scaffold	UCD	SAMN13000015
Neolamprologus falcicula	449319	PRJNA550295	550295	Animals	Fishes	708.784	40.4	GCA_015110475.1	-	VURV01	66799	-	-	2020/10/29	2020/10/29	Scaffold	"CICHLID~X"	SAMN12123937
Listronotus bonariensis	292309	PRJNA640511	640511	Animals	Insects	1112.44	31.3	GCA_014170235.1	-	JACEGR01	22156	-	-	2020/08/12	2020/08/12	Scaffold	University of Otago	SAMN15324643
Aspergillus sp. PG3605	2940388	PRJNA833221	833221	Fungi	Ascomycetes	10.6403	55.7	GCA_023625635.1	-	JAMAFM01	25	-	-	2022/06/01	2022/06/01	Scaffold	Dalian Medical University	SAMN27963589
Dothistroma pini CBS 116487	1367539	PRJNA212510	212510	Fungi	Ascomycetes	29.9846	53.2	GCA_002116355.1	-	MWSO01	642	-	-	2017/04/28	2017/05/01	Scaffold	Tree Aggressors Identification using Genomic Approaches	SAMN02254964
Trichoderma koningiopsis	337941	PRJNA786880	786880	Fungi	Ascomycetes	36.4702	48.8	GCA_022984945.1	-	JAJPEK01	13	-	-	2022/04/14	2022/04/14	Contig	University of Warwick	SAMN23731969
Beauveria bassiana	176275	PRJNA658593	658593	Fungi	Ascomycetes	32.1697	50.8	GCA_022684745.1	-	JACVND01	75	-	-	2022/03/23	2022/06/07	Scaffold	Universidad Nacional	SAMN15878520
Hyalomma marginatum	34627	PRJEB44779	792385	Animals	Other Animals	1.1686	35	GCA_910592695.1	-	CAJVAG01	179	1262	1220	2022/02/17	2022/02/17	Contig	University of Pavia	SAMEA8725077
Verticillium dahliae	27337	PRJNA657474	657474	Fungi	Ascomycetes	35.3118	53.6	GCA_018440625.1	-	JACORA01	18	-	-	2021/05/21	2021/05/21	Contig	Chinese Academy of Agricultural Sciences	SAMN15835063
Helostoma temminkii	243708	PRJEB12469	328744	Animals	Fishes	599.808	-	GCA_900302695.1	-	OMLM01	21407	-	-	2018/03/09	2018/03/09	Scaffold	University of Oslo	SAMEA4028825
Penicillium chrysogenum KF-25	1218708	PRJNA172002	172002	Fungi	Ascomycetes	29.9175	49	GCA_000816005.1	-	AZRB01	194	-	-	2015/01/07	2015/01/08	Scaffold	Key Laboratory of Agricultural and Environmental Microbiology,Wuhan Institute of Virology, Chinese Academy of Sciences	SAMN02147003
Rodentolepis nana	102285	PRJEB508	261582	Animals	Flatworms	162.944	35.3	GCA_900617975.1	-	UZAE01	16212	13758	13631	2018/11/30	2018/11/30	Scaffold	Wellcome Trust Sanger Institute, Wellcome Genome Campus	SAMEA1034746
Ascochyta lentis	205686	PRJNA510691	510691	Fungi	Ascomycetes	41.975	48.4	GCA_004011705.1	-	RZGK01	28	11638	11638	2019/01/11	2020/12/03	Contig	Curtin University	SAMN10613129
Kluyveromyces marxianus	4911	PRJNA659948	659948	Fungi	Ascomycetes	10.7945	40.11	GCA_017309885.1	chromosome 2:CM029592.1; chromosome 6:CM029593.1; chromosome 8:CM029594.1	JACVOB01	16	-	-	2021/03/09	2021/03/09	Chromosome	Worcester Polytechnic Institute	SAMN15931235
Mustela putorius furo	9669	PRJNA776022	776022	Animals	Mammals	2450.63	41.5	GCA_010367575.1	-	WXYK01	2047	-	-	2020/02/10	2020/02/10	Contig	NCBI	SAMN13175623
Saturnispora hagleri	297360	PRJNA429441	429441	Fungi	Ascomycetes	10.254	37.3	GCA_003707255.1	-	PPIH01	276	-	-	2018/10/31	2019/03/08	Scaffold	UW-Madison	SAMN08343430
Schmidingerella arcuata	1229734	PRJNA829814	829814	Protists	Other Protists	48.3687	43.8	GCA_023658695.1	-	JAMFLK01	7023	-	-	2022/06/07	2022/06/07	Contig	University of Connecticut	SAMN27682952
Hordeum vulgare subsp. vulgare	112509	PRJEB35947	648536	Plants	Land Plants	4278.66	44.4423	GCA_903970685.1	chromosome 1H:LR828108.1; chromosome 2H:LR828109.1; chromosome 3H:LR828110.1; chromosome 4H:LR828111.1; chromosome 5H:LR828112.1; chromosome 6H:LR828113.1; chromosome 7H:LR828114.1	CAJCJM01	50067	-	-	2020/07/28	2020/07/28	Chromosome	Leibniz Institute of Plant Genetics and Crop Plant Research	SAMEA6435252
Osphranter robustus	9319	PRJEB39788	690434	Animals	Mammals	1.59973	46.1	GCA_904813695.1	-	CAJGRZ01	2019	-	-	2021/01/25	2021/02/21	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321299
Berkeleyomyces basicola	124036	PRJNA421270	421270	Fungi	Ascomycetes	25.4521	51.5	GCA_003671435.1	-	PJAC01	78	-	-	2018/10/22	2018/10/22	Scaffold	Forestry and Agricultural Biotechnology Institute	SAMN08136569
Homo sapiens	9606	PRJNA611246	611246	Animals	Mammals	2898.85	40.5	GCA_015148135.1	-	JADDCJ01	19772	-	-	2020/10/30	2020/10/30	Scaffold	University of California, San Francisco	SAMN14253754
Komagataella pastoris	4922	PRJEB12220	311185	Fungi	Ascomycetes	9.35534	41.1	GCA_900016585.1	-	FBUA01	196	-	-	2016/02/06	2016/02/06	Contig	Center for Biotechnology, Bielefeld University	SAMEA3719070
